Host Id;Host Since;mes;aniomes;anio;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating;AA;AB;AC;AD;AE;AF;AG;cant
11112131;08/01/2014;1;201401;2014;Best location in Williamsburg !;Brooklyn;Apartment;;Private room;11249;2;1;1;70;;;;;;;;;1
11136429;08/01/2014;1;201401;2014;CLEAN ROOM WITH AC (tax included);Manhattan;Apartment;90;Private room;10002;1;1;105;89;94;;;;;;;;1
11135345;08/01/2014;1;201401;2014;Gorgeous building in East Village!;Manhattan;Apartment;90;Private room;10009;1;1;2;90;90;;;;;;;;1
11122472;08/01/2014;1;201401;2014;Amazing Huge SoHo Loft;Manhattan;Apartment;;Private room;10012;1;1;0;66;;;;;;;;;1
11133335;08/01/2014;1;201401;2014;Amazing location; always fun!;Manhattan;Apartment;90;Private room;10018;1;1;36;120;91;;;;;;;1
11123803;08/01/2014;1;201401;2014;One Large Comfortable Room to Relax;Manhattan;Apartment;90;Private room;10024;1;1;14;125;93;;;;;;;;1
11123321;08/01/2014;1;201401;2014;Large private room by Columbia Univ;Manhattan;Apartment;100;Private room;10025;1;1;9;62;100;;;;;;;;1
11134501;08/01/2014;1;201401;2014;Best site in town;the cheapest!!;Manhattan;Other;80;Private room;10036;1;1;2;80;80;;;;;;;1
11137400;09/01/2014;1;201401;2014;5BDR Steps to Train.  FREE PARKING!;Brooklyn;House;90;Entire home/apt;11213;8;1;32;329;90;;;;;;;;1
11161713;09/01/2014;1;201401;2014;Chic & Cozy East Village Walk Up;Manhattan;Apartment;;Entire home/apt;10003;2;1;0;208;;;;;;;;;1
11146893;09/01/2014;1;201401;2014;Amazing Apt for Super Bowl Weekend;Manhattan;Apartment;;Entire home/apt;10010;1;1;0;500;;;;;;;;;1
11158434;09/01/2014;1;201401;2014;Zen Midtown Luxury Studio;Manhattan;Apartment;90;Entire home/apt;10019;1;1;10;220;93;;;;;;;;1
11161789;09/01/2014;1;201401;2014;2 Bedroom Apt in Center of Manhattn;Manhattan;Apartment;85;Entire home/apt;10019;2;1;30;150;85;;;;;;;;1
11147328;09/01/2014;1;201401;2014;Superbowl - NYC Apartment;Manhattan;Apartment;;Entire home/apt;10022;2;1;0;950;;;;;;;;;1
11152142;09/01/2014;1;201401;2014;UWS Studio on Central Park West!;Manhattan;Apartment;;Entire home/apt;10024;1;1;0;164;;;;;;;;;1
11163915;09/01/2014;1;201401;2014;Consider it home;Manhattan;Apartment;100;Entire home/apt;10025;1;1;1;150;100;;;;;;;;1
11156066;09/01/2014;1;201401;2014;Studio with Patio and Garden!;Manhattan;Apartment;90;Entire home/apt;10037;1;1;56;100;93;;;;;;;;1
11156066;09/01/2014;1;201401;2014;1 bedroom Duplex Apartment- Private;Manhattan;Townhouse;100;Entire home/apt;10037;2;1;2;115;100;;;;;;;;1
11146830;09/01/2014;1;201401;2014;Studio: s/way; bus; 25 mins NYC;Queens;Apartment;;Entire home/apt;11375;1;1;0;140;;;;;;;1
11164946;09/01/2014;1;201401;2014;Near Bx Lebanon/St Barnabas Hosp #1;Bronx;Apartment;85;Private room;10457;1;1;4;50;85;;;;;;;;1
11164946;09/01/2014;1;201401;2014;Near Bx Lebanon/St Barnabas Hosp #2;Bronx;Apartment;;Private room;10457;2;1;0;55;;;;;;;;;1
11154991;09/01/2014;1;201401;2014;Pleasant Sunny Room w/Balcony;Brooklyn;Apartment;95;Private room;11206;1;1;8;70;95;;;;;;;;1
11138156;09/01/2014;1;201401;2014;Private room in Williamsburg!;Brooklyn;Apartment;90;Private room;11211;1;1;5;90;92;;;;;;;;1
11147343;09/01/2014;1;201401;2014;Brookyln Apartment with Back Yard!;Brooklyn;Apartment;80;Private room;11216;1;1;1;40;80;;;;;;;;1
11150772;09/01/2014;1;201401;2014;Sweet + Bright Room in Warm Home;Brooklyn;Apartment;;Private room;11216;1;1;0;50;;;;;;;;;1
